product_model,product_name,product_price
:1.515-152.,Masina de frecat aspirat BD 40/25 C Ep,
protejate..,Aspirator de siguranta NT 80/1 B1 M S,
:1.515-304.,Masina de frecat aspirat BR 40/25 C Bp Pack,
 1.087-925.,Curatitor cu apa sub presiune HDS 12/18-4 SX,
 1.071-927.,Curatitor cu apa sub presiune HDS 13/20-4 S,
:1.030-210.,Curatitor cu apa sub presiune HDS-E 8/16-4 M 12 kW,
:1.030-260.,Curatitor cu apa sub presiune HDS-E 8/16-4 M 24 kW,
:1.030-262.,Curatitor cu apa sub presiune HDS-E 8/16-4 M 36 kW,
 1.667-239.,Aspirator de siguranta NT 75/1 Me Ec H Z22,
 1.576-107.,Aspirator industrial IVC 60/30 Ap,
 1.576-105.,Aspirator industrial IVC 60/24-2 Tact² M,
 1.576-100.,Aspirator industrial IVC 60/24-2 Tact²,
 1.576-104.,Aspirator industrial IVC 60/24-2 Ap,
 1.576-103.,IVC 60/12-1 Ec H Z22,
:1.515-354.,Masina de frecat aspirat BD 40/25 C Bp Pack,
. Fiecare..,Curatitor cu presiune self service SB Wash 5/10 Fp,
 3.070-030.,Boiler electric individual STATIONAR HWE 860,
 1.524-950.,Aparat de curatat cu inalta presiune stationar HD 7/16-4 ST,
:1.509-502.,Aparate stationare de curatare cu presiune HDC Advanced,
 1.286-913.,Aparat de curatat cu inalta presiune HD 10/25-4 S Plus,
 presiune..,Curatitor cu apa sub presiune HDS 8/18-4 CX,
 1.353-905.,Aparat de curatat cu inalta presiune HD 16/15-4 Cage Plus,
 1.353-907.,Aparat de curatat cu inalta presiune HD 25/15-4 Cage Plus,
 1.187-907.,Aparat de curatat cu inalta presiune HD 9/23 De,
 1.353-908.,Aparat de curatat cu inalta presiune HD 10/15-4 Cage Food,
 1.353-906.,Aparat de curatat cu inalta presiune HD 25/15-4 Cage Plus,
 1.286-915.,Aparat de curatat cu inalta presiune HD 17/14-4S Plus,
 1.286-931.,Aparat de curatat cu inalta presiune HD 17/14-4SX Plus,
:1.173-900.,Curatitor cu apa sub presiune HDS 7/16 C,
:1.169-900.,Curatitor cu apa sub presiune HDS 6/14 C,
:1.169-905.,Curatitor cu apa sub presiune HDS 6/14 CX,
:1.286-131.,Curatitor cu apa sub presiune HD 10/25-4 Cage Plus,
 1.286-932.,Aparat de curatat cu inalta presiune HD 13/18-4 S Plus,
 1.286-936.,Aparat de curatat cu inalta presiune HD 13/18 SX Plus,
:1.292-100.,Curatitor cu apa sub presiune HD 13/18-4 S Plus,
 1.353-904.,Aparat de curatat cu inalta presiune HD 10/16-4 Cage Ex,
 1.187-906.,Aparat de curatat cu inalta presiune HD 9/23 G,
 1.127-027.,MASINA DE FRECAT ASPIRAT BD 70/75 W Classic Bp Pack 115Ah,
